Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR4588274_1	(1.0, 6.526040900397234)	(2.0, 2.167132558481683)	(3.0, 1.263425040459026)	(4.0, 0.8783286744151831)	(5.0, 0.685964396057084)	(6.0, 0.5870236869207003)	(7.0, 0.509783728115345)	(8.0, 0.42960129468883335)	(9.0, 0.34095924672649697)	('>10', 6.176989848462557)	('>50', 2.4459320288362516)	('>100', 12.055686332205385)	('>500', 15.534426953067529)	('>1k', 30.943430925408265)	('>5k', 13.51478593497131)	('>10k+', 5.940488450787112)
ERR4588274_2	(1.0, 6.83132264234221)	(2.0, 2.1686037957922615)	(3.0, 1.244666764749154)	(4.0, 0.9195233191113726)	(5.0, 0.6473444166544063)	(6.0, 0.5671619832278947)	(7.0, 0.49691040164778577)	(8.0, 0.45608356627924085)	(9.0, 0.45350890098572905)	('>10', 6.063336766220391)	('>50', 2.878475798146241)	('>100', 13.049139326173313)	('>500', 14.4162865970281)	('>1k', 28.923054288656758)	('>5k', 15.494335736354273)	('>10k+', 5.390245696630867)
ERR4588275_1	(1.0, 7.282234885614128)	(2.0, 2.2835639879716236)	(3.0, 1.1662873187021316)	(4.0, 0.8290275954876976)	(5.0, 0.6437839544117891)	(6.0, 0.5308102540246881)	(7.0, 0.505889584821651)	(8.0, 0.48512236048578694)	(9.0, 0.3439052350019106)	('>10', 6.277101227758303)	('>50', 3.4199465036301104)	('>100', 14.284112242694091)	('>500', 17.143343689255868)	('>1k', 26.33782459171637)	('>5k', 12.063680616703493)	('>10k+', 6.403365951720357)
ERR4588275_2	(1.0, 7.397700652921533)	(2.0, 2.265288830556063)	(3.0, 1.2435413932315462)	(4.0, 0.860593776478211)	(5.0, 0.6520908441461348)	(6.0, 0.573175391669851)	(7.0, 0.4680932365303783)	(8.0, 0.4120217308235451)	(9.0, 0.3663338372846439)	('>10', 6.481866059709923)	('>50', 3.4785100762572476)	('>100', 14.622617999368675)	('>500', 17.66584705354621)	('>1k', 24.419763752055957)	('>5k', 12.358990546759482)	('>10k+', 6.7335648186605965)
ERR4588276_1	(1.0, 7.035119781028537)	(2.0, 2.1830991738954264)	(3.0, 1.3681581754583267)	(4.0, 0.9708175871792538)	(5.0, 0.7276997246318088)	(6.0, 0.5631403550843883)	(7.0, 0.5064955469738441)	(8.0, 0.44323528682119256)	(9.0, 0.42793705397381937)	('>10', 6.2433328647388135)	('>50', 3.084454514632553)	('>100', 14.424993177815082)	('>500', 11.180113951161426)	('>1k', 27.53847298828238)	('>5k', 16.914470474410603)	('>10k+', 6.388459343912543)
ERR4588276_2	(1.0, 7.176938534181214)	(2.0, 2.2608307353901878)	(3.0, 1.313580696110941)	(4.0, 0.8765473955792241)	(5.0, 0.758709656079187)	(6.0, 0.6003522728212423)	(7.0, 0.526755368852798)	(8.0, 0.39692712252644113)	(9.0, 0.46142777993698786)	('>10', 6.089937070512449)	('>50', 3.848539225495952)	('>100', 14.365867575188748)	('>500', 10.700493678108643)	('>1k', 26.52176070256101)	('>5k', 13.74773627500434)	('>10k+', 10.353595911650638)
ERR4588277_1	(1.0, 8.292278818802966)	(2.0, 2.376763144775813)	(3.0, 1.5175508049617312)	(4.0, 1.0762147737603003)	(5.0, 0.7771033107533503)	(6.0, 0.668602093780241)	(7.0, 0.5183132459458667)	(8.0, 0.5102489663059735)	(9.0, 0.5278437582475587)	('>10', 8.50708190375649)	('>50', 4.5049998533767335)	('>100', 16.67253159731386)	('>500', 9.989443124835049)	('>1k', 39.07143485528284)	('>5k', 4.989589748101229)	('>10k+', 0.0)
ERR4588277_2	(1.0, 9.74824785196915)	(2.0, 2.6465499545467877)	(3.0, 1.651711093516319)	(4.0, 1.1319316149086538)	(5.0, 0.8907363420427553)	(6.0, 0.6070203219846925)	(7.0, 0.6568722324858509)	(8.0, 0.4164100759508519)	(9.0, 0.4552652414885194)	('>10', 8.630978563678484)	('>50', 4.79678015307469)	('>100', 16.387349344594)	('>500', 10.798803554147971)	('>1k', 35.92929826104807)	('>5k', 5.2520453945632095)	('>10k+', 0.0)
ERR4588278_1	(1.0, 7.205368633940062)	(2.0, 2.27027027027027)	(3.0, 1.3006067291781578)	(4.0, 0.9413495127780842)	(5.0, 0.7482993197278911)	(6.0, 0.573634859349145)	(7.0, 0.4890604890604891)	(8.0, 0.5148005148005148)	(9.0, 0.43022614451185875)	('>10', 6.465894465894466)	('>50', 3.606545320831035)	('>100', 13.693693693693692)	('>500', 8.437948152233867)	('>1k', 26.693877551020407)	('>5k', 17.87129987129987)	('>10k+', 8.757124471410185)
ERR4588278_2	(1.0, 8.145615002757859)	(2.0, 2.4386835815407246)	(3.0, 1.3745173745173744)	(4.0, 0.9707666850523994)	(5.0, 0.7777164920022063)	(6.0, 0.653061224489796)	(7.0, 0.5945945945945946)	(8.0, 0.45890788747931605)	(9.0, 0.39051296194153334)	('>10', 6.654532083103512)	('>50', 3.7231108659680086)	('>100', 13.472697186982902)	('>500', 8.274682846111418)	('>1k', 27.68155911013054)	('>5k', 15.776429490715206)	('>10k+', 8.612612612612612)
