Sample	0	1	2	3	4	5	6	7	8	9	10	11
SRR33075544_1	(27.0, 1.0)	(28.0, 92.0)	(29.0, 535.0)	(30.0, 1172.0)	(31.0, 2342.0)	(32.0, 4970.0)	(33.0, 10650.0)	(34.0, 21511.0)	(35.0, 44224.0)	(36.0, 106167.0)	(37.0, 133242.0)	
SRR33075544_2	(27.0, 133.0)	(28.0, 5842.0)	(29.0, 20060.0)	(30.0, 26722.0)	(31.0, 34423.0)	(32.0, 47448.0)	(33.0, 65919.0)	(34.0, 73757.0)	(35.0, 43558.0)	(36.0, 6885.0)	(37.0, 159.0)	
SRR33075545_1	(27.0, 6.0)	(28.0, 103.0)	(29.0, 640.0)	(30.0, 1182.0)	(31.0, 2588.0)	(32.0, 5560.0)	(33.0, 11775.0)	(34.0, 24817.0)	(35.0, 51927.0)	(36.0, 126194.0)	(37.0, 163405.0)	
SRR33075545_2	(26.0, 2.0)	(27.0, 185.0)	(28.0, 7149.0)	(29.0, 24383.0)	(30.0, 32333.0)	(31.0, 41710.0)	(32.0, 57257.0)	(33.0, 79594.0)	(34.0, 86172.0)	(35.0, 49086.0)	(36.0, 9827.0)	(37.0, 499.0)
SRR33075546_1	(27.0, 1.0)	(28.0, 108.0)	(29.0, 545.0)	(30.0, 1090.0)	(31.0, 2319.0)	(32.0, 4855.0)	(33.0, 10253.0)	(34.0, 21543.0)	(35.0, 44467.0)	(36.0, 107547.0)	(37.0, 134192.0)	
SRR33075546_2	(27.0, 177.0)	(28.0, 6379.0)	(29.0, 21027.0)	(30.0, 28216.0)	(31.0, 36152.0)	(32.0, 49152.0)	(33.0, 67538.0)	(34.0, 72200.0)	(35.0, 39414.0)	(36.0, 6446.0)	(37.0, 219.0)	
SRR33075547_1	(27.0, 16.0)	(28.0, 991.0)	(29.0, 5635.0)	(30.0, 11416.0)	(31.0, 20985.0)	(32.0, 38084.0)	(33.0, 66687.0)	(34.0, 113587.0)	(35.0, 201915.0)	(36.0, 438175.0)	(37.0, 503147.0)	
SRR33075547_2	(26.0, 1.0)	(27.0, 525.0)	(28.0, 26769.0)	(29.0, 88380.0)	(30.0, 114791.0)	(31.0, 141274.0)	(32.0, 179579.0)	(33.0, 233385.0)	(34.0, 285926.0)	(35.0, 245573.0)	(36.0, 81236.0)	(37.0, 3199.0)
SRR33075548_1	(27.0, 11.0)	(28.0, 225.0)	(29.0, 1183.0)	(30.0, 2436.0)	(31.0, 4959.0)	(32.0, 9803.0)	(33.0, 17816.0)	(34.0, 33036.0)	(35.0, 61038.0)	(36.0, 143921.0)	(37.0, 153765.0)	
SRR33075548_2	(27.0, 101.0)	(28.0, 5318.0)	(29.0, 19703.0)	(30.0, 26994.0)	(31.0, 34979.0)	(32.0, 46892.0)	(33.0, 66252.0)	(34.0, 93974.0)	(35.0, 97566.0)	(36.0, 34901.0)	(37.0, 1513.0)	
