Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR33075548_2	31.94756641358633	54.0	301.0	301	36.36363636363637	0.5582239999999999
SRR33075549_1	82.64863453642906	54.0	301.0	301	45.45454545454545	0.5592239999999999
SRR33075549_2	34.79455906248582	53.0	301.0	301	36.36363636363637	0.5592239999999999
SRR33075550_1	88.76446886174571	56.0	301.0	301	36.36363636363637	0.538052
SRR33075550_2	24.03547950276497	55.0	301.0	301	27.27272727272727	0.538052
SRR33075551_1	86.18864221304645	55.0	301.0	301	45.45454545454545	0.5400699999999999
SRR33075551_2	34.98425918410129	54.0	301.0	301	36.36363636363637	0.5400699999999999
SRR33075552_1	87.31465862162983	55.0	301.0	301	36.36363636363637	0.451127
SRR33075552_2	30.632995548901818	54.0	301.0	301	27.27272727272727	0.451127
SRR33075553_1	81.603282729748	53.0	301.0	301	54.54545454545454	0.556319
SRR33075553_2	34.20153502407045	52.0	301.0	301	36.36363636363637	0.556319
SRR33075554_1	92.28338284827392	54.0	301.0	301	36.36363636363637	0.427817
SRR33075554_2	25.062975913056988	49.0	301.0	301	18.181818181818183	0.427817
SRR33075555_1	93.2328090748505	54.0	301.0	301	36.36363636363637	0.46986999999999995
SRR33075555_2	29.60295689537932	49.0	301.0	301	18.181818181818183	0.46986999999999995
SRR33075556_1	92.93556149681595	54.0	301.0	301	36.36363636363637	0.524019
SRR33075556_2	23.28810536880401	49.0	301.0	301	18.181818181818183	0.524019
SRR33075557_1	93.20514083813117	54.0	301.0	301	36.36363636363637	0.49727299999999997
SRR33075557_2	30.432961100302975	49.0	301.0	301	18.181818181818183	0.49727299999999997
SRR33075558_1	90.83092374462774	55.0	301.0	301	36.36363636363637	1.4897939999999998
SRR33075558_2	31.17713613896747	52.0	301.0	301	27.27272727272727	1.4897939999999998
SRR33075559_1	92.58616665530653	54.0	301.0	301	36.36363636363637	0.484149
